TID,Biscuit A,Nut B,Noodle C,Shampoo D,Bread E,Diaper F,Beer G,Milk H
1,,,T,,,,T,
2,,,T,T,T,,T,T
3,,,,,T,T,,
4,,,T,T,T,,T,
5,T,T,,,,,,T
6,,,T,,T,T,,
7,,T,,T,,,,
8,,,T,T,T,,T,
9,,T,,,,,,
10,T,,,T,,,,
11,,,T,,T,,T,
12,,,,,,,,
13,,,,,,,T,
14,,,T,,T,,T,
15,,,,,,,,
16,,,,T,T,,,
17,,,,T,T,,,
18,T,,T,,T,,,
19,,,T,T,T,,T,
20,,,,,,,,
21,,,T,,,,T,
22,,,T,T,T,,,
23,T,,,T,T,,T,
24,,T,T,,T,,,
25,,,,T,T,,,
26,,,,,,,,
27,,,T,T,,T,,
28,T,T,,,,T,,T
29,,,T,,,,T,
30,,,,,,,,
31,,,,T,,,T,
32,,T,,,,T,,T
33,,,T,,T,,T,
34,,,T,,T,,T,
35,,,T,T,,,,
36,,,,T,T,T,,
37,,,T,T,T,T,T,
38,T,T,,,,,,T
39,T,T,T,T,T,T,T,T
40,,,,T,,,T,
41,,,,T,,T,,
42,,,T,,,,T,
43,T,T,,,,T,,T
44,,,,T,,,T,
45,T,T,,,,,,T
46,,,T,,T,,T,
47,T,,,,T,,,
48,,,T,T,T,,T,
49,,,,T,,,T,
50,,,T,,T,,,
51,T,,,T,T,,T,
52,,,T,,T,,T,
53,,,T,T,T,T,T,T
54,,,T,,,T,,
55,,,T,T,T,,,T
